Parameter,Mode,Mean,Median,95% HPD interval
$\beta$,0.1416,0.1411,0.1413,"[0.1287, 0.1563]"
$\gamma$,0.0876,0.0876,0.0876,"[0.0856, 0.0896]"
$\rho$,0.2402,0.2404,0.2404,"[0.2277, 0.2520]"
