Parameter,Mode,Mean,Median,95% HPD interval
$\beta$,0.1460,0.1448,0.1452,"[0.1287, 0.1606]"
$\gamma$,0.0857,0.0863,0.0863,"[0.0829, 0.0897]"
$\rho$,0.2478,0.2487,0.2482,"[0.2297, 0.2691]"
